Country,Policy,Type,Comment
Czech Republic,Governance,All Administrative Levels Engaged in Health Promotion,Yes
Finland,Governance,All Administrative Levels Engaged in Health Promotion,Yes
France,Governance,All Administrative Levels Engaged in Health Promotion,Yes
Germany,Governance,All Administrative Levels Engaged in Health Promotion,Yes
Italy,Governance,All Administrative Levels Engaged in Health Promotion,Yes
Romania,Governance,All Administrative Levels Engaged in Health Promotion,yes
Spain,Governance,All Administrative Levels Engaged in Health Promotion,Yes
Portugal,Diabetes,"Targeted Interventions to High-Risk Groups for Prevention, Treament, Rehabilitation & Commorbidities Management).   ",Yes
Portugal,Diabetes,Interventions from Primary Prevention of Diabetes,Yes
Portugal,Diabetes,Awareness Campaigns (Ehole of Society Approach),Yes
Croatia,Vaccinations & Communicable Di ,Awareness Campaign (Vaccinations),Yes
Cyprus,Vaccinations & Communicable Di ,Awareness Campaign (Vaccinations),Yes
Czech Republic,Vaccinations & Communicable Di ,Awareness Campaign (Vaccinations),Yes
Estonia,Vaccinations & Communicable Di ,Awareness Campaign (Vaccinations),Yes
Finland,Vaccinations & Communicable Di ,Awareness Campaign (Vaccinations),Yes
France,Vaccinations & Communicable Di ,Awareness Campaign (Vaccinations),Yes
Greece,Vaccinations & Communicable Di ,Awareness Campaign (Vaccinations),Yes
Ireland,Vaccinations & Communicable Di ,Awareness Campaign (Vaccinations),Yes
Italy,Vaccinations & Communicable Di ,Awareness Campaign (Vaccinations),Yes
Latvia,Vaccinations & Communicable Di ,Awareness Campaign (Vaccinations),Yes
Lithuania,Vaccinations & Communicable Di ,Awareness Campaign (Vaccinations),Yes
Malta,Vaccinations & Communicable Di ,Awareness Campaign (Vaccinations),Yes
Netherlands,Vaccinations & Communicable Di ,Awareness Campaign (Vaccinations),Yes
Slovenia,Vaccinations & Communicable Di ,Awareness Campaign (Vaccinations),Yes
Austria,Vaccinations & Communicable Di ,Monitoring Vaccination Coverage Levels,Yes
Croatia,Vaccinations & Communicable Di ,Monitoring Vaccination Coverage Levels,Yes 
Estonia,Vaccinations & Communicable Di ,Monitoring Vaccination Coverage Levels,Yes
France,Vaccinations & Communicable Di ,Monitoring Vaccination Coverage Levels,Yes
Italy,Vaccinations & Communicable Di ,Monitoring Vaccination Coverage Levels,Yes
Latvia,Vaccinations & Communicable Di ,Monitoring Vaccination Coverage Levels,Yes
Lithuania,Vaccinations & Communicable Di ,Monitoring Vaccination Coverage Levels,Yes
Malta,Vaccinations & Communicable Di ,Monitoring Vaccination Coverage Levels,Yes
Slovenia,Vaccinations & Communicable Di ,Monitoring Vaccination Coverage Levels,Yes
Austria,Vaccinations & Communicable Di ,"Support Prevention, Diagnosis, Management of Communicable Diseases via special equipment (e.g. AI-based app, Digital Records, etc.)",Yes
Estonia,Vaccinations & Communicable Di ,"Support Prevention, Diagnosis, Management of Communicable Diseases via special equipment (e.g. AI-based app, Digital Records, etc.)",Yes
Finland,Vaccinations & Communicable Di ,"Support Prevention, Diagnosis, Management of Communicable Diseases via special equipment (e.g. AI-based app, Digital Records, etc.)",Yes
France,Vaccinations & Communicable Di ,"Support Prevention, Diagnosis, Management of Communicable Diseases via special equipment (e.g. AI-based app, Digital Records, etc.)",Yes
Latvia,Vaccinations & Communicable Di ,"Support Prevention, Diagnosis, Management of Communicable Diseases via special equipment (e.g. AI-based app, Digital Records, etc.)",Yes
Luxemburg,Vaccinations & Communicable Di ,"Support Prevention, Diagnosis, Management of Communicable Diseases via special equipment (e.g. AI-based app, Digital Records, etc.)",Yes
Malta,Vaccinations & Communicable Di ,"Support Prevention, Diagnosis, Management of Communicable Diseases via special equipment (e.g. AI-based app, Digital Records, etc.)",Yes
Netherlands,Vaccinations & Communicable Di ,"Support Prevention, Diagnosis, Management of Communicable Diseases via special equipment (e.g. AI-based app, Digital Records, etc.)",Yes
Slovenia,Vaccinations & Communicable Di ,"Support Prevention, Diagnosis, Management of Communicable Diseases via special equipment (e.g. AI-based app, Digital Records, etc.)",Yes
Cyprus,Vaccinations & Communicable Di ,Education for Clinicians,Yes
Italy,Vaccinations & Communicable Di ,Education for Clinicians,Yes
Latvia,Vaccinations & Communicable Di ,Education for Clinicians,Yes
Lithuania,Vaccinations & Communicable Di ,Education for Clinicians,Yes
Netherlands,Vaccinations & Communicable Di ,Education for Clinicians,Yes
Austria,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Belgium,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Bulgaria,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Croatia,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Cyprus,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Czech Republic,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Denmark,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Estonia,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Finland,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
France,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Germany,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Greece,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Hungary,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Ireland,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Italy,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Latvia,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Lithuania,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Luxemburg,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Malta,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Netherlands,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Poland,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Portugal,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Romania,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Slovakia,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Slovenia,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Spain,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Sweden,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Female,Yes
Austria,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Belgium,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Croatia,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Cyprus,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Czech Republic,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Denmark,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Estonia,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Finland,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Germany,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Greece,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Hungary,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Ireland,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Italy,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Latvia,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Luxemburg,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Netherlands,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Poland,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Portugal,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Slovakia,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Slovenia,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Sweden,Vaccinations & Communicable Di ,Provision of Vaccines for HPV to Male,Yes
Austria,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Belgium,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Bulgaria,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Croatia,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Cyprus,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Czech Republic,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Denmark,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Estonia,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Finland,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
France,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Germany,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Greece,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Hungary,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Ireland,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Italy,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Latvia,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Lithuania,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Luxemburg,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Malta,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Netherlands,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Poland,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Portugal,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Romania,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Slovakia,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Slovenia,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Spain,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Sweden,Vaccinations & Communicable Di ,Provision of Vaccines for HBV,Yes
Croatia,R&D,Support R&D at National & International Level,Yes
Cyprus,R&D,Support R&D at National & International Level,Yes
Czech Republic,R&D,Support R&D at National & International Level,Yes
Estonia,R&D,Support R&D at National & International Level,Yes
Finland,R&D,Support R&D at National & International Level,Yes
France,R&D,Support R&D at National & International Level,Yes
Germany (nutrition/excersice),R&D,Support R&D at National & International Level,Yes
Greece,R&D,Support R&D at National & International Level,Yes
Hungary,R&D,Support R&D at National & International Level,Yes
Italy,R&D,Support R&D at National & International Level,Yes
Lithuania,R&D,Support R&D at National & International Level,Yes
Luxemburg,R&D,Support R&D at National & International Level,Yes
Malta,R&D,Support R&D at National & International Level,Yes
Netherlands,R&D,Support R&D at National & International Level,Yes
Portugal,R&D,Support R&D at National & International Level,Yes
Romania,R&D,Support R&D at National & International Level,Yes
Slovakia,R&D,Support R&D at National & International Level,Yes
Slovenia,R&D,Support R&D at National & International Level,Yes
Sweden,R&D,Support R&D at National & International Level,Yes
Estonia,R&D,Rapid Implementation of Research Findings,Yes
Finland,R&D,Rapid Implementation of Research Findings,Yes
France,R&D,Rapid Implementation of Research Findings,Yes
Germany (nutrition/excersice),R&D,Rapid Implementation of Research Findings,Yes
Malta,R&D,Rapid Implementation of Research Findings,yes
Netherlands,R&D,Rapid Implementation of Research Findings,Yes
Poland,R&D,Rapid Implementation of Research Findings,Yes
Estonia,R&D,"Availability and/or Exploitation of real-world data, information systems, biobanks , healthcare instittutions infrastructure, etc",Yes
France,R&D,"Availability and/or Exploitation of real-world data, information systems, biobanks , healthcare instittutions infrastructure, etc",Yes
Germany (nutrition/excersice),R&D,"Availability and/or Exploitation of real-world data, information systems, biobanks , healthcare instittutions infrastructure, etc",Yes
Lithuania,R&D,"Availability and/or Exploitation of real-world data, information systems, biobanks , healthcare instittutions infrastructure, etc",Yes
Netherlands,R&D,"Availability and/or Exploitation of real-world data, information systems, biobanks , healthcare instittutions infrastructure, etc",Yes
Estonia,R&D,Novel Research Programs Proposal or/and Coordination,Yes
France,R&D,Novel Research Programs Proposal or/and Coordination,Yes
Germany (nutrition/excersice),R&D,Novel Research Programs Proposal or/and Coordination,Yes
Lithuania,R&D,Novel Research Programs Proposal or/and Coordination,Yes
Slovenia,R&D,Novel Research Programs Proposal or/and Coordination,Yes
Croatia,Occupational Risk Factors ,Educational Courses for Workers at risk,Yes
Finland,Occupational Risk Factors ,Educational Courses for Workers at risk,Yes
France,Occupational Risk Factors ,Educational Courses for Workers at risk,Yes
Italy,Occupational Risk Factors ,Educational Courses for Workers at risk,Yes
Lithuania,Occupational Risk Factors ,Educational Courses for Workers at risk,Yes
Malta,Occupational Risk Factors ,Educational Courses for Workers at risk,Yes
Poland,Occupational Risk Factors ,Educational Courses for Workers at risk,Yes
Portugal,Occupational Risk Factors ,Educational Courses for Workers at risk,Yes
Slovenia,Occupational Risk Factors ,Educational Courses for Workers at risk,Yes
Croatia,Occupational Risk Factors ,Occupational Safety Measures and/or Supervision,Yes
Czech Republic,Occupational Risk Factors ,Occupational Safety Measures and/or Supervision,Yes
Finland,Occupational Risk Factors ,Occupational Safety Measures and/or Supervision,Yes
France,Occupational Risk Factors ,Occupational Safety Measures and/or Supervision,Yes
Ireland,Occupational Risk Factors ,Occupational Safety Measures and/or Supervision,Yes
Italy,Occupational Risk Factors ,Occupational Safety Measures and/or Supervision,Yes
Lithuania,Occupational Risk Factors ,Occupational Safety Measures and/or Supervision,Yes
Luxemburg,Occupational Risk Factors ,Occupational Safety Measures and/or Supervision,Yes
Malta,Occupational Risk Factors ,Occupational Safety Measures and/or Supervision,Yes
Poland,Occupational Risk Factors ,Occupational Safety Measures and/or Supervision,Yes
Portugal,Occupational Risk Factors ,Occupational Safety Measures and/or Supervision,Yes
Slovenia,Occupational Risk Factors ,Occupational Safety Measures and/or Supervision,Yes
Spain,Occupational Risk Factors ,Occupational Safety Measures and/or Supervision,Yes
Croatia,Occupational Risk Factors , Awareness Campaigns,Yes
Cyprus,Occupational Risk Factors , Awareness Campaigns,Yes
Czech Republic,Occupational Risk Factors , Awareness Campaigns,Yes
Finland,Occupational Risk Factors , Awareness Campaigns,Yes
France,Occupational Risk Factors , Awareness Campaigns,Yes
Italy,Occupational Risk Factors , Awareness Campaigns,Yes
Lithuania,Occupational Risk Factors , Awareness Campaigns,Yes
Luxemburg,Occupational Risk Factors , Awareness Campaigns,Yes
Malta,Occupational Risk Factors , Awareness Campaigns,Yes
Netherlands,Occupational Risk Factors , Awareness Campaigns,Yes
Poland,Occupational Risk Factors , Awareness Campaigns,Yes
Portugal,Occupational Risk Factors , Awareness Campaigns,Yes
France,Occupational Risk Factors ,Related Repository,Yes
Italy,Occupational Risk Factors ,Related Repository,Yes
Malta,Occupational Risk Factors ,Related Repository,Yes
Italy,Occupational Risk Factors ,Epidemiological Surveillance,Yes
Lithuania,Occupational Risk Factors ,Epidemiological Surveillance,Yes
Luxemburg,Occupational Risk Factors ,Epidemiological Surveillance,Yes
Malta,Occupational Risk Factors ,Epidemiological Surveillance,Yes
Spain,Occupational Risk Factors ,Epidemiological Surveillance,Yes
Finland,Occupational Risk Factors ,Smoking Ban,Yes
Ireland,Occupational Risk Factors ,Smoking Ban,Yes
Luxemburg,Occupational Risk Factors ,Smoking Ban,indoor pollutants
Ireland,Occupational Risk Factors ,Dedicated Measures for UV Protection,Yes
Belgium,Physical Activity,Special Events for Promoting Physical Activity,Yes
Bulgaria,Physical Activity,Special Events for Promoting Physical Activity,Yes
Estonia,Physical Activity,Special Events for Promoting Physical Activity,Yes
Finland,Physical Activity,Special Events for Promoting Physical Activity,Yes
Germany,Physical Activity,Special Events for Promoting Physical Activity,Yes
Italy,Physical Activity,Special Events for Promoting Physical Activity,Yes
Latvia,Physical Activity,Special Events for Promoting Physical Activity,Yes
Malta,Physical Activity,Special Events for Promoting Physical Activity,Yes
Netherlands,Physical Activity,Special Events for Promoting Physical Activity,Yes
Belgium,Physical Activity,Online Apps Related to Physical Activity,Yes
Spain,Physical Activity,Online Apps Related to Physical Activity,Yes
Austria,Physical Activity,Awareness Campaign,Yes
Belgium,Physical Activity,Awareness Campaign,Yes
Bulgaria,Physical Activity,Awareness Campaign,Yes
Croatia,Physical Activity,Awareness Campaign,Yes
Cyprus,Physical Activity,Awareness Campaign,Yes
Czech Republic,Physical Activity,Awareness Campaign,Yes
Denmark,Physical Activity,Awareness Campaign,Yes
Estonia,Physical Activity,Awareness Campaign,Yes
Finland,Physical Activity,Awareness Campaign,Yes
France,Physical Activity,Awareness Campaign,Yes
Germany,Physical Activity,Awareness Campaign,Yes
Greece,Physical Activity,Awareness Campaign,Yes
Hungary,Physical Activity,Awareness Campaign,Yes
Ireland,Physical Activity,Awareness Campaign,Yes
Italy,Physical Activity,Awareness Campaign,Yes
Latvia,Physical Activity,Awareness Campaign,Yes
Lithuania,Physical Activity,Awareness Campaign,Yes
Malta,Physical Activity,Awareness Campaign,Yes
Netherlands,Physical Activity,Awareness Campaign,Yes
Portugal,Physical Activity,Awareness Campaign,Yes
Slovenia,Physical Activity,Awareness Campaign,yes
Spain,Physical Activity,Awareness Campaign,Yes
Sweden,Physical Activity,Awareness Campaign,Yes
Austria,Physical Activity,Special Initiatives for Vulnerable Populations (e.g. individual programs),Yes
Bulgaria,Physical Activity,Special Initiatives for Vulnerable Populations (e.g. individual programs),Yes
Croatia,Physical Activity,Special Initiatives for Vulnerable Populations (e.g. individual programs),Yes
Cyprus,Physical Activity,Special Initiatives for Vulnerable Populations (e.g. individual programs),Yes
Estonia,Physical Activity,Special Initiatives for Vulnerable Populations (e.g. individual programs),Yes
Finland,Physical Activity,Special Initiatives for Vulnerable Populations (e.g. individual programs),Yes
Germany,Physical Activity,Special Initiatives for Vulnerable Populations (e.g. individual programs),Yes
Greece,Physical Activity,Special Initiatives for Vulnerable Populations (e.g. individual programs),Yes
Italy,Physical Activity,Special Initiatives for Vulnerable Populations (e.g. individual programs),Yes
Latvia,Physical Activity,Special Initiatives for Vulnerable Populations (e.g. individual programs),Yes
Netherlands,Physical Activity,Special Initiatives for Vulnerable Populations (e.g. individual programs),Yes
Spain,Physical Activity,Special Initiatives for Vulnerable Populations (e.g. individual programs),Yes
Bulgaria,Physical Activity,Education for Clinicians,Yes
Croatia,Physical Activity,Education for Clinicians,Yes
Cyprus,Physical Activity,Education for Clinicians,Yes
Latvia,Physical Activity,Education for Clinicians,Yes
Lithuania,Physical Activity,Education for Clinicians,Yes
Portugal,Physical Activity,Education for Clinicians,Yes
Bulgaria,Physical Activity,Development of Physical Activity Infrastructure,Yes
Estonia,Physical Activity,Development of Physical Activity Infrastructure,Yes
Finland,Physical Activity,Development of Physical Activity Infrastructure,Yes
Germany,Physical Activity,Development of Physical Activity Infrastructure,Yes
Italy,Physical Activity,Development of Physical Activity Infrastructure,Yes
Latvia,Physical Activity,Development of Physical Activity Infrastructure,Yes
Malta,Physical Activity,Development of Physical Activity Infrastructure,Yes
Netherlands,Physical Activity,Development of Physical Activity Infrastructure,Yes/ cycling paths
Portugal,Physical Activity,Development of Physical Activity Infrastructure,Yes
Austria,Physical Activity,Targeted Interventions for Uptaking Physical Activity,Yes
Belgium,Physical Activity,Targeted Interventions for Uptaking Physical Activity,Yes
Bulgaria,Physical Activity,Targeted Interventions for Uptaking Physical Activity,Yes
Croatia,Physical Activity,Targeted Interventions for Uptaking Physical Activity,Yes
Cyprus,Physical Activity,Targeted Interventions for Uptaking Physical Activity,Yes
Estonia,Physical Activity,Targeted Interventions for Uptaking Physical Activity,Yes
Germany,Physical Activity,Targeted Interventions for Uptaking Physical Activity,Yes
Greece,Physical Activity,Targeted Interventions for Uptaking Physical Activity,Yes
Ireland,Physical Activity,Targeted Interventions for Uptaking Physical Activity,Yes
Italy,Physical Activity,Targeted Interventions for Uptaking Physical Activity,Yes
Latvia,Physical Activity,Targeted Interventions for Uptaking Physical Activity,Yes
Netherlands,Physical Activity,Targeted Interventions for Uptaking Physical Activity,Yes
Portugal,Physical Activity,Targeted Interventions for Uptaking Physical Activity,Yes
Slovenia,Physical Activity,Targeted Interventions for Uptaking Physical Activity,yes
Spain,Physical Activity,Targeted Interventions for Uptaking Physical Activity,Yes
Sweden,Physical Activity,Targeted Interventions for Uptaking Physical Activity,Yes
Austria,Smoking,Implementation of Dedicated Action Plan,Yes
Czech Republic,Smoking,Implementation of Dedicated Action Plan,Yes
Denmark,Smoking,Implementation of Dedicated Action Plan,Yes
Finland,Smoking,Implementation of Dedicated Action Plan,Yes
France,Smoking,Implementation of Dedicated Action Plan,Yes
Ireland,Smoking,Implementation of Dedicated Action Plan,Yes
Italy,Smoking,Implementation of Dedicated Action Plan,Yes
Luxemburg,Smoking,Implementation of Dedicated Action Plan,Yes
Malta,Smoking,Implementation of Dedicated Action Plan,Yes
Netherlands,Smoking,Implementation of Dedicated Action Plan,Yes
Poland,Smoking,Implementation of Dedicated Action Plan,Yes
Slovenia,Smoking,Implementation of Dedicated Action Plan,Yes
Spain,Smoking,Implementation of Dedicated Action Plan,yes
Sweden,Smoking,Implementation of Dedicated Action Plan,Yes
Austria,Smoking,Epidemiological Surveillance,Yes
Croatia,Smoking,Epidemiological Surveillance,Yes
Cyprus,Smoking,Epidemiological Surveillance,Yes
Czech Republic,Smoking,Epidemiological Surveillance,Yes
Estonia,Smoking,Epidemiological Surveillance,Yes
Greece,Smoking,Epidemiological Surveillance,Yes
Lithuania,Smoking,Epidemiological Surveillance,Yes
Netherlands,Smoking,Epidemiological Surveillance,Yes
Poland,Smoking,Epidemiological Surveillance,Yes
Portugal,Smoking,Epidemiological Surveillance,Yes
Romania,Smoking,Epidemiological Surveillance,Yes
Slovakia,Smoking,Epidemiological Surveillance,Yes
Spain,Smoking,Epidemiological Surveillance,Yes
Sweden,Smoking,Epidemiological Surveillance,Yes
Austria,Smoking,Support Smoking Cessation,Yes
Belgium,Smoking,Support Smoking Cessation,Yes
Bulgaria,Smoking,Support Smoking Cessation,Yes
Croatia,Smoking,Support Smoking Cessation,Yes
Czech Republic,Smoking,Support Smoking Cessation,Yes
Denmark,Smoking,Support Smoking Cessation,"Yes/esp. marginalized, vulnerable populations, cancer patients, etc. "
Estonia,Smoking,Support Smoking Cessation,Yes
Finland,Smoking,Support Smoking Cessation,Yes
France,Smoking,Support Smoking Cessation,Yes
Greece,Smoking,Support Smoking Cessation,Yes
Hungary,Smoking,Support Smoking Cessation,Yes
Ireland,Smoking,Support Smoking Cessation,Yes
Luxemburg,Smoking,Support Smoking Cessation,Yes
Malta,Smoking,Support Smoking Cessation,Yes
Netherlands,Smoking,Support Smoking Cessation,Yes
Poland,Smoking,Support Smoking Cessation,Yes
Portugal,Smoking,Support Smoking Cessation,Yes
Spain,Smoking,Support Smoking Cessation,Yes
Sweden,Smoking,Support Smoking Cessation,Yes
Austria,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Estonia,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Finland,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
France,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Germany,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Greece,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Hungary,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Ireland,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Italy,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Latvia,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Luxemburg,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Malta,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Netherlands,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Poland,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Portugal,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Romania,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Slovakia,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Slovenia,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Spain,Smoking,Bans & Restrictions for Smoking on Public Areas,Yes
Sweden,Smoking,Bans & Restrictions for Smoking on Public Areas,yes
Belgium,Smoking,Awareness Campaign,Yes
Bulgaria,Smoking,Awareness Campaign,Yes
Croatia,Smoking,Awareness Campaign,Yes
Cyprus,Smoking,Awareness Campaign,Yes
Denmark,Smoking,Awareness Campaign,yes
